task,trial,top1_accuracy
PartialcrossTimelimited,1,0.5892857142857143
PartialcrossTimelimited,2,0.5357142857142857
PartialcrossTimelimited,3,0.625
PartialcrossTimelimited,4,0.6785714285714286
PartialcrossTimelimited,5,0.5714285714285714
PartialcrossTimelimited,6,0.6964285714285714
PartialcrossTimelimited,7,0.6964285714285714
PartialcrossTimelimited,8,0.6607142857142857
PartialcrossTimelimited,9,0.75
PartialcrossTimelimited,10,0.6785714285714286
PartialcrossTimelimited,11,0.7678571428571429
PartialcrossTimelimited,12,0.5714285714285714
PartialcrossTimelimited,13,0.75
PartialcrossTimelimited,14,0.7321428571428571
PartialcrossTimelimited,15,0.6607142857142857
PartialcrossTimelimited,16,0.5535714285714286
PartialcrossTimelimited,17,0.7857142857142857
PartialcrossTimelimited,18,0.8035714285714286
PartialcrossTimelimited,19,0.7857142857142857
PartialcrossTimelimited,20,0.75
PartialcrossTimelimited,21,0.75
PartialcrossTimelimited,22,0.7678571428571429
PartialcrossTimelimited,23,0.7142857142857143
PartialcrossTimelimited,24,0.7678571428571429
PartialcrossTimelimited,25,0.8392857142857143
PartialcrossTimelimited,26,0.7857142857142857
PartialcrossTimelimited,27,0.7321428571428571
PartialcrossTimelimited,28,0.7678571428571429
PartialcrossTimelimited,29,0.6607142857142857
PartialcrossTimelimited,30,0.6785714285714286
PartialcrossTimelimited,31,0.8035714285714286
PartialcrossTimelimited,32,0.7857142857142857
PartialcrossTimelimited,33,0.6964285714285714
PartialcrossTimelimited,34,0.7142857142857143
PartialcrossTimelimited,35,0.5892857142857143
PartialcrossTimelimited,36,0.6785714285714286
PartialcrossTimelimited,37,0.7857142857142857
PartialcrossTimelimited,38,0.5892857142857143
PartialcrossTimelimited,39,0.7857142857142857
PartialcrossTimelimited,40,0.75
